Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
NMRA,"Neumora Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,103.12M
NMRK,"Newmark Group, Inc.",Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,2.60B
NMTC,NeuroOne Medical Technologies Corporation,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,26.54M
NN,NextNav Inc.,Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,1.57B
NNBR,"NN, Inc.",Conglomerates,Industrial Conglomerates,Industrial Conglomerates,Capital Goods,Industrials,81.57M
NNDM,Nano Dimension Ltd.,Computer Hardware,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,Information Technology,324.47M
NNE,NANO Nuclear Energy Inc.,Specialty Industrial Machinery,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,Industrials,760.67M
NNI,"Nelnet, Inc.",Credit Services,Specialized Finance,Financial Services,Financial Services,Financials,3.84B
NNN,"NNN REIT, Inc.",REIT - Retail,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts,Real Estate,7.78B
NNNN,Anbio Biotechnology,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,288.37M
NNOX,Nano-X Imaging Ltd.,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,286.93M
NNVC,"NanoViricides, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,21.66M
NOA,North American Construction Group Ltd.,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,440.34M
NOAH,Noah Holdings Limited,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,564.37M
NOC,Northrop Grumman Corporation,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Capital Goods,Industrials,77.48B
NODK,"NI Holdings, Inc.",Insurance - Property & Casualty,Property & Casualty Insurance,Insurance,Insurance,Financials,267.41M
NOEM,CO2 Energy Transition Corp.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,95.09M
NOG,"Northern Oil and Gas, Inc.",Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,Energy,2.26B
